epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,337.44,1.20308,2.63345,0.00745,0.73861,0.70251,0.75394,0.4632,1.17485,2.0404,0.00715,0.000664783,0.000664783,0.000664783
2,671.022,1.21522,1.28244,0.00721,0.78631,0.78771,0.84724,0.57854,1.18874,1.06418,0.00883,0.000892072,0.000892072,0.000892072
3,1009.39,1.12715,0.90335,0.00658,0.84968,0.81805,0.89325,0.65827,0.97732,0.75607,0.00645,0.00067936,0.00067936,0.00067936
