epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.8504,1.07608,4.09363,0.00323,0.01222,0.12898,0.03734,0.03494,0.61042,3.99888,0.0026,0.00023331,0.00023331,0.00023331
2,70.0754,0.93218,3.62602,0.00286,0.02521,0.57836,0.1655,0.14425,0.55538,3.9364,0.00239,0.000468271,0.000468271,0.000468271
3,95.7026,0.99338,3.21273,0.00295,0.02239,0.58112,0.16086,0.12948,0.58528,3.58036,0.0027,0.000693553,0.000693553,0.000693553
4,133.136,0.95635,2.78787,0.00276,0.02975,0.74779,0.22747,0.18801,0.62936,2.69467,0.00291,0.000909156,0.000909156,0.000909156
5,170.996,0.95385,2.34535,0.00306,0.91081,0.21239,0.27994,0.23399,0.69632,2.08527,0.00335,0.00102301,0.00102301,0.00102301
6,199.808,0.98159,2.16917,0.00298,0.93702,0.21586,0.28199,0.23941,0.65408,1.79749,0.00283,0.00100101,0.00100101,0.00100101
7,233.281,1.00565,2.117,0.00311,0.91354,0.22155,0.32031,0.2699,0.63572,2.59903,0.00316,0.000979013,0.000979013,0.000979013
8,261.703,0.95471,2.17832,0.00281,0.91792,0.22701,0.34544,0.29497,0.70195,2.93469,0.00322,0.000957015,0.000957015,0.000957015
9,298.479,0.9589,2.17179,0.00296,0.96017,0.20833,0.37212,0.31368,0.70147,2.25326,0.00335,0.000935018,0.000935018,0.000935018
10,334.806,0.9221,2.00315,0.00296,0.9951,0.19109,0.42643,0.37178,0.67756,1.83099,0.00311,0.00091302,0.00091302,0.00091302
11,366.632,0.92172,1.77791,0.00278,0.94984,0.19684,0.40466,0.34291,0.65916,1.58129,0.00304,0.000891022,0.000891022,0.000891022
12,392.433,0.88736,1.80475,0.00263,0.8957,0.27011,0.43483,0.35747,0.6605,1.48087,0.00318,0.000869024,0.000869024,0.000869024
13,411.432,0.9071,1.78513,0.0025,0.90713,0.27874,0.47806,0.39453,0.64098,1.49383,0.003,0.000847026,0.000847026,0.000847026
14,429.658,0.88369,1.7198,0.0026,0.71517,0.33168,0.50166,0.41475,0.64362,1.4791,0.00306,0.000825029,0.000825029,0.000825029
15,447.705,0.90059,1.68502,0.00267,0.64312,0.39489,0.53824,0.45817,0.60962,1.44233,0.00273,0.000803031,0.000803031,0.000803031
