epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.88603,2.06723,4.31811,0.00814,0.01411,0.29531,0.00872,0.00566,1.8724,3.98883,0.00848,0.00023331,0.00023331,0.00023331
2,14.9578,1.78064,4.04898,0.00636,0.01066,0.29207,0.01975,0.011,1.25911,3.98844,0.00553,0.000468271,0.000468271,0.000468271
3,22.1404,1.74008,3.76438,0.00544,0.00883,0.28883,0.06609,0.03939,1.30346,3.83663,0.00548,0.000693553,0.000693553,0.000693553
4,29.6647,1.53458,3.45662,0.00499,0.02135,0.40534,0.14624,0.10265,1.39148,3.3653,0.00582,0.000909156,0.000909156,0.000909156
5,36.9915,1.60432,3.18838,0.00507,0.02742,0.50566,0.20881,0.13128,1.54133,2.92816,0.00698,0.00102301,0.00102301,0.00102301
6,44.1297,1.54885,2.85549,0.00526,0.88145,0.09381,0.25885,0.17513,1.46544,2.41571,0.00656,0.00100101,0.00100101,0.00100101
7,50.7175,1.53414,2.58114,0.00474,0.56353,0.44741,0.28661,0.18078,1.41187,1.83489,0.00668,0.000979013,0.000979013,0.000979013
8,57.418,1.46909,2.25217,0.00469,0.5677,0.49855,0.36521,0.2419,1.44303,1.68421,0.00687,0.000957015,0.000957015,0.000957015
9,63.9746,1.49728,2.04748,0.00472,0.53953,0.53155,0.39734,0.26168,1.21279,1.69051,0.00552,0.000935018,0.000935018,0.000935018
10,70.734,1.45032,1.843,0.00474,0.53476,0.53803,0.4,0.26766,1.16837,1.63762,0.00521,0.00091302,0.00091302,0.00091302
11,77.4388,1.39404,1.64938,0.00463,0.53591,0.53803,0.39944,0.26578,1.18428,1.74377,0.00532,0.000891022,0.000891022,0.000891022
12,84.3429,1.42964,1.54555,0.00447,0.54326,0.54773,0.37424,0.27281,1.19491,1.69355,0.00522,0.000869024,0.000869024,0.000869024
13,91.169,1.44151,1.53804,0.00431,0.43443,0.2945,0.38452,0.26805,1.19104,1.61641,0.00525,0.000847026,0.000847026,0.000847026
14,99.8338,1.42458,1.44266,0.00415,0.44054,0.2945,0.3876,0.2604,1.20954,1.54907,0.00551,0.000825029,0.000825029,0.000825029
15,109.974,1.44389,1.39409,0.00422,0.91523,0.22776,0.40444,0.26813,1.24893,1.38628,0.00594,0.000803031,0.000803031,0.000803031
16,117.614,1.36226,1.33703,0.00422,0.60211,0.39383,0.47126,0.29681,1.20626,1.30935,0.00562,0.000781033,0.000781033,0.000781033
17,552.113,1.40405,1.34231,0.0043,0.80184,0.39638,0.52776,0.35323,1.15456,1.21679,0.00518,0.000759035,0.000759035,0.000759035
18,557.854,1.40805,1.34739,0.00432,0.8297,0.3774,0.5172,0.35418,1.18845,1.21309,0.00537,0.000737037,0.000737037,0.000737037
19,562.986,1.3434,1.23898,0.00412,0.88255,0.33532,0.5208,0.35524,1.24168,1.23796,0.00596,0.00071504,0.00071504,0.00071504
20,568.133,1.40129,1.25671,0.00418,0.83036,0.35021,0.54464,0.37597,1.15616,1.25345,0.00508,0.000693042,0.000693042,0.000693042
21,573.66,1.39744,1.27566,0.00414,0.80192,0.35547,0.53267,0.36755,1.15483,1.25632,0.00523,0.000671044,0.000671044,0.000671044
22,581.901,1.36392,1.2471,0.00421,0.7476,0.39009,0.52531,0.35995,1.14819,1.28311,0.00526,0.000649046,0.000649046,0.000649046
23,590.044,1.36397,1.19533,0.00403,0.84204,0.37391,0.54286,0.36626,1.12206,1.23331,0.00526,0.000627048,0.000627048,0.000627048
24,598.389,1.32217,1.22707,0.00389,0.79257,0.42221,0.55286,0.37071,1.10424,1.20275,0.00498,0.000605051,0.000605051,0.000605051
25,605.578,1.27583,1.1427,0.00383,0.79563,0.47697,0.56097,0.38006,1.06925,1.11349,0.00465,0.000583053,0.000583053,0.000583053
26,610.98,1.29418,1.13679,0.00394,0.76572,0.48345,0.57764,0.388,1.07595,1.11688,0.00477,0.000561055,0.000561055,0.000561055
27,616.837,1.31443,1.16233,0.00387,0.76178,0.49062,0.62705,0.4162,1.1154,1.11125,0.00512,0.000539057,0.000539057,0.000539057
28,622.228,1.24979,1.1623,0.0038,0.76291,0.50909,0.66347,0.45745,1.07886,1.18115,0.00474,0.000517059,0.000517059,0.000517059
29,627.364,1.33682,1.11977,0.00383,0.77585,0.50825,0.66746,0.46393,1.08301,1.15655,0.00486,0.000495062,0.000495062,0.000495062
30,632.41,1.23584,1.08844,0.00382,0.80936,0.49938,0.67088,0.4716,1.07385,1.13611,0.00486,0.000473064,0.000473064,0.000473064
31,638.373,1.27558,1.16452,0.00392,0.892,0.46596,0.63906,0.4326,1.0727,1.10925,0.00489,0.000451066,0.000451066,0.000451066
32,644.863,1.26558,1.13509,0.00361,0.89363,0.46529,0.67696,0.46075,1.08928,1.09664,0.00505,0.000429068,0.000429068,0.000429068
33,651.536,1.21074,1.09517,0.00361,0.84037,0.51207,0.67071,0.45607,1.08723,1.08643,0.00491,0.00040707,0.00040707,0.00040707
34,658.361,1.23689,1.08673,0.00356,0.82456,0.51149,0.71384,0.49266,1.05073,1.10017,0.00465,0.000385073,0.000385073,0.000385073
35,665.01,1.20389,1.08283,0.00382,0.81443,0.50236,0.73168,0.51051,1.03622,1.0896,0.00473,0.000363075,0.000363075,0.000363075
36,674.542,1.18313,1.08335,0.00373,0.82082,0.49291,0.70921,0.50736,1.00677,1.09471,0.00469,0.000341077,0.000341077,0.000341077
37,682.095,1.22111,1.06595,0.00359,0.817,0.49644,0.7103,0.49748,1.02187,1.09284,0.00483,0.000319079,0.000319079,0.000319079
38,688.639,1.18503,1.11049,0.00362,0.81752,0.49938,0.70023,0.4906,1.01716,1.07935,0.00487,0.000297081,0.000297081,0.000297081
39,695.419,1.24591,1.07356,0.00362,0.79958,0.52825,0.69688,0.49035,0.96387,1.06037,0.00437,0.000275084,0.000275084,0.000275084
40,702.009,1.23155,1.04967,0.00344,0.80509,0.52825,0.69684,0.50064,0.96238,1.05453,0.00431,0.000253086,0.000253086,0.000253086
41,708.576,1.17243,1.31217,0.00353,0.75225,0.59572,0.65352,0.45907,1.04804,1.07287,0.00468,0.000231088,0.000231088,0.000231088
42,714.768,1.18851,1.27028,0.00376,0.75653,0.55281,0.64142,0.43424,1.0695,1.11084,0.00477,0.00020909,0.00020909,0.00020909
43,721.103,1.18208,1.23748,0.00357,0.75387,0.54649,0.64062,0.42378,1.07776,1.13274,0.00477,0.000187092,0.000187092,0.000187092
44,727.529,1.1916,1.17734,0.00373,0.77456,0.54954,0.64791,0.4355,1.06537,1.13892,0.00465,0.000165095,0.000165095,0.000165095
45,734.036,1.12531,1.15462,0.00351,0.77512,0.5445,0.6421,0.42729,1.0803,1.13547,0.00478,0.000143097,0.000143097,0.000143097
46,740.421,1.1307,1.13051,0.00367,0.77619,0.54089,0.6514,0.43351,1.07316,1.12954,0.00477,0.000121099,0.000121099,0.000121099
