epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,364.02,1.2029,2.94349,0.00744,0.70011,0.73568,0.78661,0.5498,1.06381,2.19812,0.00647,0.000474988,0.000474988,0.000474988
2,685.422,1.19146,1.45217,0.00714,0.83714,0.80201,0.87699,0.64953,0.96666,1.1474,0.00643,0.000637385,0.000637385,0.000637385
3,1001.01,1.09091,1.01349,0.00629,0.85849,0.83618,0.90099,0.68072,0.9354,0.86167,0.00603,0.000485403,0.000485403,0.000485403
