epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0028,2.06723,4.31811,0.00814,0.01411,0.29531,0.00872,0.00566,1.8724,3.98883,0.00848,0.00023331,0.00023331,0.00023331
2,21.7696,1.79191,4.07709,0.00643,0.01142,0.29531,0.02557,0.0119,1.2399,4.00885,0.00541,0.000383139,0.000383139,0.000383139
3,36.2976,1.7643,3.86787,0.00555,0.00905,0.28883,0.03469,0.02007,1.22972,3.91358,0.00507,0.000436179,0.000436179,0.000436179
4,50.9504,1.55758,3.6847,0.00514,0.01406,0.33091,0.05163,0.04387,1.25671,3.65815,0.00526,0.000392427,0.000392427,0.000392427
5,65.6988,1.61706,3.59743,0.0051,0.02078,0.38916,0.0665,0.05446,1.24759,3.53841,0.0054,0.000231088,0.000231088,0.000231088
