epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.5319,1.07608,4.09363,0.00323,0.01222,0.12898,0.03734,0.03494,0.61042,3.99888,0.0026,0.00023331,0.00023331,0.00023331
2,63.3025,0.92867,3.65847,0.00284,0.02645,0.57405,0.17297,0.15347,0.5308,3.96373,0.00228,0.000383139,0.000383139,0.000383139
3,82.2481,0.97976,3.36396,0.00288,0.0224,0.57969,0.16178,0.13812,0.52688,3.69932,0.00231,0.000436179,0.000436179,0.000436179
4,99.9839,0.92247,3.119,0.00266,0.03239,0.69607,0.1692,0.13979,0.51552,3.2298,0.00226,0.000392427,0.000392427,0.000392427
5,117.867,0.88693,2.89605,0.00277,0.03293,0.72779,0.18168,0.15224,0.54821,2.96392,0.00251,0.000231088,0.000231088,0.000231088
